序号,站点KKS编码        ,标签点KKS编码      ,数据类型 ,工程单位         ,数据源地址       ,扫描周期         ,量程范围之下限   ,量程范围之上限   ,压缩偏移量    ,最大压缩时间,存储标识,描述信息                        
0,BCDC,BC_Fir_1_#1QALLJLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1气氨流量计流量
1,BCDC,BC_Fir_1_#1QALLJQQDTJFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机至#1气氨流量计前气动调节阀开度
2,BCDC,BC_Fir_1_#1XSFJYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1稀释风机运行状态
3,BCDC,BC_Fir_1_#1XSFL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1SCR稀释风量
4,BCDC,BC_Fir_1_#1YACGQXLQTHLJC,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨储罐区泄漏气体含量检测
5,BCDC,BC_Fir_1_#1YAWSCGYL1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨卧式储罐压力1
6,BCDC,BC_Fir_1_#1YAWSCGYL2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨卧式储罐压力2
7,BCDC,BC_Fir_1_#1YAWSCGYW,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1液氨卧式储罐液位
8,BCDC,BC_Fir_1_#1ZFQCKGQAYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1蒸发器出口管气氨压力
9,BCDC,BC_Fir_1_#1ZFQZQRKFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#1蒸发器蒸汽入口阀开度
10,BCDC,BC_Fir_1_#2QALLJLL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2气氨流量计流量
11,BCDC,BC_Fir_1_#2QALLJQQDTJFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机至#2气氨流量计前气动调节阀开度
12,BCDC,BC_Fir_1_#2XSFJYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2稀释风机运行状态
13,BCDC,BC_Fir_1_#2XSFL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2SCR稀释风量
14,BCDC,BC_Fir_1_#2YACGQXLQTHLJC,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨储罐区泄漏气体含量检测
15,BCDC,BC_Fir_1_#2YAWSCGYL1,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨卧式储罐压力1
16,BCDC,BC_Fir_1_#2YAWSCGYL2,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨卧式储罐压力2
17,BCDC,BC_Fir_1_#2YAWSCGYW,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2液氨卧式储罐液位
18,BCDC,BC_Fir_1_#2ZFQCKGQAYL,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2蒸发器出口管气氨压力
19,BCDC,BC_Fir_1_#2ZFQZQRKFKD,float,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1号机#2蒸发器蒸汽入口阀开度
20,BCDC,BC_Fir_1_1XSTXHJYYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机吸收塔循环浆液泵1运行状态
21,BCDC,BC_Fir_1_2XSTXHJYYXZT,bool,,BCDC,1000.00,0.00,10000.00,0.01,1,1,白城电厂#1机吸收塔循环浆液泵2运行状态
